"","Scientific.Name","Latitude","Longitude","Country"
"316","Adelges tsugae",42.624958,-77.418663,"US"
"317","Adelges tsugae",42.688767,-77.347388,"US"
"318","Adelges tsugae",42.688453,-77.347563,"US"
"319","Adelges tsugae",42.444475,-71.094328,"US"
"320","Adelges tsugae",42.610763,-72.189263,"US"
"321","Adelges tsugae",41.508106,-71.308961,"US"
"322","Adelges tsugae",40.78421,-77.191093,"US"
"323","Adelges tsugae",36.213931,-81.777473,"US"
"324","Adelges tsugae",36.213792,-81.777198,"US"
"325","Adelges tsugae",43.114514,-71.33815,"US"
"326","Adelges tsugae",34.707643,-83.916635,"US"
"327","Adelges tsugae",43.041892,-77.474953,"US"
"328","Adelges tsugae",42.231985,-72.639648,"US"
"329","Adelges tsugae",41.862531,-73.95349,"US"
"330","Adelges tsugae",42.825979,-71.330182,"US"
"331","Adelges tsugae",39.058353,-77.033601,"US"
"332","Adelges tsugae",42.456511,-77.243919,"US"
"333","Adelges tsugae",40.749908,-74.293655,"US"
"334","Adelges tsugae",43.149146,-71.913996,"US"
"335","Adelges tsugae",42.584142,-72.465958,"US"
"336","Adelges tsugae",40.747925,-74.295067,"US"
"337","Adelges tsugae",35.634423,-83.687068,"US"
"338","Adelges tsugae",43.689586,-70.671951,"US"
"339","Adelges tsugae",42.617303,-72.14881,"US"
"340","Adelges tsugae",35.495852,-82.605223,"US"
"341","Adelges tsugae",35.657405,-83.709812,"US"
"342","Adelges tsugae",42.548592,-72.214413,"US"
"343","Adelges tsugae",39.228145,-75.72031,"US"
"344","Adelges tsugae",40.979887,-74.867074,"US"
"345","Adelges tsugae",41.267892,-79.846712,"US"
"346","Adelges tsugae",43.06032,-71.166043,"US"
"347","Adelges tsugae",43.059182,-71.167387,"US"
"348","Adelges tsugae",40.0136,-77.303629,"US"
"349","Adelges tsugae",36.218033,-81.686725,"US"
"350","Adelges tsugae",40.750222,-74.292862,"US"
"351","Adelges tsugae",41.069067,-80.084462,"US"
"352","Adelges tsugae",42.440996,-71.082907,"US"
"353","Adelges tsugae",42.110925,-72.239297,"US"
"354","Adelges tsugae",39.225494,-76.7212,"US"
"355","Adelges tsugae",41.874512,-71.463077,"US"
"356","Adelges tsugae",42.58493,-78.010589,"US"
"357","Adelges tsugae",42.586108,-78.015869,"US"
"358","Adelges tsugae",40.0456,-75.337722,"US"
